00-goals.md	1	6	1	목표	745	GOAL	high	
00-goals.md	7	12	2	배경	825	GOAL	high	
00-goals.md	13	16	2	한 문장	224	GOAL	high	
00-goals.md	17	18	2	목표	10	GOAL	high	
00-goals.md	19	28	3	G1. 스키마는 공유 계약이다 — 판정의 동치	590	GOAL	high	
00-goals.md	29	44	3	G2. 표준이 형상을 말하고, FE가 표현을 더한다 — 층의 분리	918	GOAL	high	
00-goals.md	45	53	3	G3. 의미는 위임한다 — 재구현하지 않는다	545	GOAL	high	
00-goals.md	54	64	3	G4. 하나의 개념에는 하나의 장치 — 구조의 정합성	725	GOAL	high	
00-goals.md	65	74	3	G5. 한 장으로 설명되는 라이프사이클 — 결정성	591	GOAL	high	
00-goals.md	75	85	3	G6. 정밀한 고속 제어 — 비용은 변경에 비례한다	627	GOAL	high	
00-goals.md	86	91	3	G7. 반응의 척추를 보존한다	332	GOAL	high	
00-goals.md	92	97	3	G8. 보편적인 관행을 따른다	266	GOAL	high	
00-goals.md	98	112	2	추가로 채택한 목표 (2026-09-22)	3261	GOAL	high	
00-goals.md	113	118	3	C3의 세부 — core와 렌더 계층의 경계	1346	GOAL	high	
00-goals.md	119	125	2	비목표	539	GOAL	high	
00-goals.md	126	129	2	진행 방식	305	GOAL	high	
00-goals.md	130	136	2	목표 사이의 긴장	1210	GOAL	high	
00-goals.md	137	153	2	출처 — 소유자의 원래 발언과의 대응	1789	GOAL	high	
01-current-structure.md	1	6	1	현재 구조 (관찰)	430	PROCESS	high	
01-current-structure.md	7	21	2	1. 전체 흐름	1016	PROCESS	high	
01-current-structure.md	22	38	2	2. 하중을 지는 설계 결정	3119	PROCESS	high	
01-current-structure.md	39	55	2	3. "조건부로 존재/필수"를 표현하는 장치 — 7개	2122	PROCESS	high	
01-current-structure.md	56	70	2	4. 폼 내부가 작성된 스키마·`getValue()`와 달라지는 지점	2813	PROCESS	high	
01-current-structure.md	71	82	2	5. 라이프사이클에서 확인된 문제	1925	PROCESS	high	
01-current-structure.md	83	89	2	6. core와 React의 경계	1407	REACT	high	
01-current-structure.md	90	96	2	7. 문서와 코드의 불일치	603	PROCESS	high	
01-current-structure.md	97	105	2	8. 추적하지 않은 것	680	PROCESS	high	
02-target-overview.md	1	6	1	목표 구조 개관	1048	PROCESS	high	
