00-goals.md:100#1	HISTORY	
00-goals.md:11#1	RESTATES	GOAL-003
00-goals.md:11#2	RESTATES	GOAL-003
00-goals.md:11#3	OUT	관찰
00-goals.md:128#1	HISTORY	
00-goals.md:128#2	RESTATES	PROCESS-031
00-goals.md:139#1	VIEW	GOAL-003,GOAL-004,GOAL-005,GOAL-006,GOAL-009,GOAL-011,GOAL-012,GOAL-013
00-goals.md:141#1	VIEW	GOAL-003
00-goals.md:142#1	VIEW	GOAL-004
00-goals.md:143#1	VIEW	GOAL-004
00-goals.md:144#1	VIEW	GOAL-004
00-goals.md:145#1	VIEW	GOAL-005
00-goals.md:146#1	VIEW	GOAL-005
00-goals.md:147#1	VIEW	GOAL-006
00-goals.md:148#1	VIEW	GOAL-006,GOAL-009
00-goals.md:149#1	VIEW	GOAL-009
00-goals.md:150#1	VIEW	GOAL-011
00-goals.md:151#1	VIEW	GOAL-012
00-goals.md:152#1	VIEW	GOAL-013
00-goals.md:5#1	HISTORY	
00-goals.md:5#2	HISTORY	
00-goals.md:9#1	HISTORY	
00-goals.md:9#2	HISTORY	
00-goals.md:9#3	HISTORY	
01-current-structure.md:10#1	OUT	관찰
01-current-structure.md:103#1	OUT	관찰
01-current-structure.md:104#1	OUT	관찰
01-current-structure.md:11#1	OUT	관찰
01-current-structure.md:12#1	OUT	관찰
01-current-structure.md:13#1	OUT	관찰
01-current-structure.md:14#1	OUT	관찰
01-current-structure.md:15#1	OUT	관찰
01-current-structure.md:16#1	OUT	관찰
01-current-structure.md:17#1	OUT	관찰
01-current-structure.md:18#1	OUT	관찰
01-current-structure.md:19#1	OUT	관찰
01-current-structure.md:24#1	OUT	관찰
01-current-structure.md:25#1	OUT	관찰
01-current-structure.md:26#1	OUT	관찰
01-current-structure.md:27#1	OUT	관찰
01-current-structure.md:28#1	OUT	관찰
01-current-structure.md:29#1	OUT	관찰
01-current-structure.md:30#1	OUT	관찰
01-current-structure.md:31#1	OUT	관찰
01-current-structure.md:32#1	OUT	관찰
01-current-structure.md:33#1	OUT	관찰
01-current-structure.md:34#1	OUT	관찰
01-current-structure.md:35#1	OUT	관찰
01-current-structure.md:36#1	OUT	관찰
01-current-structure.md:37#1	OUT	관찰
01-current-structure.md:41#1	OUT	관찰
01-current-structure.md:43#1	OUT	관찰
01-current-structure.md:44#1	OUT	관찰
01-current-structure.md:45#1	OUT	관찰
01-current-structure.md:46#1	OUT	관찰
01-current-structure.md:47#1	OUT	관찰
01-current-structure.md:48#1	OUT	관찰
01-current-structure.md:49#1	OUT	관찰
01-current-structure.md:51#1	OUT	관찰
01-current-structure.md:51#2	OUT	관찰
01-current-structure.md:52#1	OUT	관찰
01-current-structure.md:52#2	OUT	관찰
01-current-structure.md:53#1	OUT	관찰
01-current-structure.md:53#2	OUT	관찰
01-current-structure.md:54#1	OUT	관찰
01-current-structure.md:54#2	OUT	관찰
01-current-structure.md:54#3	OUT	관찰
01-current-structure.md:58#1	OUT	관찰
01-current-structure.md:60#1	OUT	관찰
01-current-structure.md:60#2	OUT	관찰
01-current-structure.md:61#1	OUT	관찰
01-current-structure.md:61#2	OUT	관찰
01-current-structure.md:61#3	OUT	관찰
01-current-structure.md:61#4	OUT	관찰
